Trials,Min Card Count,Average Rounds Played, Probability of Termination
0,26,0,0
10,23.528,10.059,0
20,21.953,20.057,0
30,21.133,30.05,0
40,20.304,40.031,0.002
50,19.583,49.97,0.007
60,19.312,59.924,0.006
70,18.529,69.625,0.021
80,17.686,79.38,0.027
90,18.014,89.388,0.029
100,18.097,98.69,0.044
110,17.427,108.48,0.04
120,17.591,117.954,0.047
130,17.27,127.68,0.055
140,16.751,135.557,0.084
150,16.755,146.09,0.065
160,16.506,156.471,0.065
170,16.59,163.674,0.097
180,16.179,173.815,0.092
190,16.498,182.748,0.09
200,16.314,191.939,0.094
210,16.311,200.829,0.108
220,15.981,209.71,0.115
230,15.783,218.602,0.122
240,16.066,230.495,0.102
250,15.461,236.733,0.128
260,15.647,244.624,0.13
270,15.576,252.685,0.16
280,15.682,259.204,0.162
290,15.802,269.933,0.147
300,15.134,281.088,0.147
310,15.197,284.236,0.176
320,15.373,293.016,0.184
330,15.342,304.862,0.168
340,14.864,308.456,0.206
350,14.987,319.836,0.186
360,15.123,332.608,0.167
370,14.763,332.897,0.208
380,15.049,344.543,0.208
390,14.318,351.023,0.215
400,14.687,365.162,0.196
410,14.579,363.072,0.227
420,14.914,372.277,0.225
430,14.608,391.33,0.196
440,14.518,389.88,0.242
450,14.2,400.272,0.23
460,14.191,399.089,0.268
470,14.48,412.097,0.248
480,14.628,417.709,0.267
490,14.558,431.651,0.24
500,14.226,435.718,0.262
510,13.918,448.315,0.251
520,13.629,454.075,0.258
530,14.209,465.935,0.256
540,13.861,465.221,0.28
550,14.003,475.012,0.277
560,13.749,477.317,0.296
570,13.648,489.815,0.29
580,13.624,488.332,0.304
590,13.681,506.008,0.292
600,13.58,516.15,0.286
610,13.474,509.755,0.326
620,13.689,523.006,0.312
630,13.425,520.84,0.343
640,13.078,535.928,0.319
650,13.834,531.913,0.342
660,13.475,564.077,0.3
670,13.557,554.776,0.334
680,13.354,561.145,0.338
690,13.2,563.535,0.346
700,13.245,579.438,0.318
710,13.201,575.372,0.364
720,13,588.64,0.363
730,13.119,578.569,0.404
740,13.073,599.249,0.379
750,13.011,613.341,0.349
760,13.04,614.183,0.358
770,13.034,622.429,0.365
780,12.778,620.101,0.382
790,13.268,622.273,0.397
800,12.728,645.826,0.367
810,12.689,643.194,0.391
820,13.076,639.272,0.404
830,12.827,655.025,0.395
840,12.658,666.065,0.405
850,12.68,662.564,0.415
860,13.055,654.921,0.44
870,12.919,687.988,0.404
880,12.754,674.7,0.431
890,12.957,696.181,0.395
900,12.605,692.005,0.419
910,12.858,712.863,0.405
920,12.806,714.018,0.424
930,12.708,722.169,0.435
940,12.432,716.125,0.448
950,12.599,723.978,0.435
960,12.793,745.15,0.427
970,12.699,728.373,0.45
980,12.597,741.421,0.441
990,12.877,725.08,0.479
1000,12.688,760.88,0.446
1010,12.769,742.602,0.46
1020,12.549,763.73,0.441
1030,12.415,762.692,0.458
1040,12.073,769.778,0.475
1050,12.244,760.1,0.493
1060,12.502,782.924,0.475
1070,12.371,791.492,0.456
1080,12.022,785.011,0.489
1090,12.711,808.636,0.461
1100,12.188,791.254,0.49
1110,12.292,808.206,0.471
1120,12.234,810.643,0.486
1130,12.469,837.437,0.449
1140,12.231,816.1,0.489
1150,12.029,824.724,0.496
1160,11.874,834.714,0.489
1170,12.084,850.145,0.476
1180,12.05,846.573,0.498
1190,12.302,859.749,0.483
1200,12.154,855.23,0.51
1210,12.361,863.497,0.49
1220,12.267,879.531,0.497
1230,11.989,860.937,0.519
1240,12.367,881.262,0.491
1250,12.292,882.8,0.509
1260,12.457,905.04,0.486
1270,12.398,891.904,0.528
1280,12.035,889.834,0.527
1290,11.32,886.538,0.539
1300,12.307,894.659,0.529
1310,12.258,922.306,0.527
1320,12.074,922.635,0.537
1330,12.016,906.686,0.537
1340,11.956,930.446,0.533
1350,11.683,921.871,0.524
1360,12.062,906.893,0.545
1370,11.758,926.725,0.562
1380,11.895,935.978,0.563
1390,12.029,955.633,0.533
1400,11.944,935.235,0.57
1410,12.025,958.611,0.546
1420,11.746,976.178,0.543
1430,12.145,996.443,0.516
1440,11.384,976.548,0.56
1450,11.825,984.943,0.542
1460,11.486,980.209,0.574
1470,11.647,978.817,0.565
1480,11.943,997.997,0.549
1490,12.004,1012.82,0.552
1500,11.87,1005.099,0.567
1510,11.8,995.663,0.576
1520,11.751,1001.071,0.575
1530,11.925,1042.412,0.544
1540,12.122,1000.028,0.573
1550,11.62,984.676,0.588
1560,11.856,1053.257,0.547
1570,11.811,1046.821,0.563
1580,11.73,1039.629,0.574
1590,11.736,1031.563,0.585
1600,11.803,1040.461,0.581
1610,11.792,1021.443,0.601
1620,11.946,1046.206,0.576
1630,11.601,1054.644,0.59
1640,11.483,1020.233,0.608
1650,11.321,1081.017,0.555
1660,11.853,1067.183,0.583
1670,11.131,1036.243,0.624
1680,11.953,1092.468,0.573
1690,11.705,1094.793,0.599
1700,11.75,1087.769,0.59
1710,11.455,1092.342,0.604
1720,11.889,1096.918,0.594
1730,11.665,1045.392,0.632
1740,11.888,1102.285,0.586
1750,11.681,1107.202,0.61
1760,11.684,1094.985,0.604
1770,11.643,1153.378,0.587
1780,11.811,1134.352,0.592
1790,11.614,1133.49,0.601
1800,11.635,1120.001,0.601
1810,11.744,1138.422,0.589
1820,11.437,1156.066,0.601
1830,11.141,1140.937,0.61
1840,11.326,1087.391,0.636
1850,11.223,1117.189,0.637
1860,11.842,1150.325,0.601
1870,11.64,1167.336,0.597
1880,11.575,1156.555,0.603
1890,11.248,1184.047,0.599
1900,11.752,1136.744,0.63
1910,11.118,1125.081,0.659
1920,11.223,1166.016,0.631
1930,11.508,1202.191,0.614
1940,11.62,1163.282,0.631
1950,11.331,1157.455,0.632
1960,11.37,1219.478,0.605
1970,11.641,1191.996,0.614
1980,11.431,1183.783,0.651
1990,11.614,1181.839,0.631
2000,11.908,1203.772,0.61
2010,11.48,1180.832,0.647
2020,11.881,1219.905,0.599
2030,11.733,1192.882,0.655
2040,10.906,1230.467,0.621
2050,11.762,1253.671,0.605
2060,11.504,1213.731,0.634
2070,11.75,1194.366,0.645
2080,11.189,1195.868,0.658
2090,11.101,1205.325,0.664
2100,11.427,1282.964,0.635
2110,11.49,1258.02,0.625
2120,11.046,1224.461,0.645
2130,11.487,1257.156,0.629
2140,11.284,1300.505,0.614
2150,11.467,1255.332,0.642
2160,11.28,1204.526,0.672
2170,11.397,1269.779,0.65
2180,10.966,1266.163,0.641
2190,11.133,1244.618,0.664
2200,11.177,1274.01,0.652
2210,11.212,1258.988,0.653
2220,11.616,1282.246,0.652
2230,11.522,1305.915,0.629
2240,11.353,1279.522,0.662
2250,10.933,1309.079,0.64
2260,10.926,1264.815,0.679
2270,10.834,1250.539,0.674
2280,11.274,1255.492,0.691
2290,11.356,1328.859,0.646
2300,11.469,1309.325,0.649
2310,11.203,1336.688,0.654
2320,11.603,1347.229,0.644
2330,11.395,1314.45,0.662
2340,10.95,1268.624,0.687
2350,11.35,1357.11,0.645
2360,11.123,1299.007,0.673
2370,11.435,1324.97,0.661
2380,11.147,1304.378,0.681
2390,11.278,1352.426,0.662
2400,11.478,1348.94,0.664
2410,11.269,1371.003,0.647
2420,11.184,1352.638,0.655
2430,11.076,1365.146,0.659
2440,11.407,1319.581,0.67
2450,10.987,1325.814,0.677
2460,11.594,1400.237,0.654
2470,11.045,1341.796,0.665
2480,11.515,1450.863,0.628
2490,11.121,1366.937,0.665
2500,11.291,1353.623,0.684
2510,11.321,1398.906,0.662
2520,11.306,1407.751,0.663
2530,11.506,1402.664,0.662
2540,11.14,1381.114,0.668
2550,11.42,1345.023,0.689
2560,11.025,1440.482,0.652
2570,11.289,1394.498,0.67
2580,11.57,1441.905,0.65
2590,10.942,1372.98,0.681
2600,11.08,1430.104,0.665
2610,11.24,1434.997,0.674
2620,10.898,1413.091,0.673
